TIG_PostNL::Enabled,Activé
TIG_PostNL::do not deliver to neighbours,Pas de livraison chez les voisins en cas d'absence
TIG_PostNL::Matrix,Matrice
TIG_PostNL::Invalid PostNL Matrix Rates File Format,Format de fichier incorrect pour la matrice des tarifs PostNL
TIG_PostNL::Region/State,Province/état
TIG_PostNL::Minimum Order Weight,Poids minimum de commande
TIG_PostNL::Minimum Order Amount,Montant minimum de commande (sous-total)
TIG_PostNL::Minimum Quantity,Quantité minimum
TIG_PostNL::Parcel Type,Modèle de colis
TIG_PostNL::Shipping Price,Prix d'envoi
TIG_PostNL::An error occurred while importing the matrix rates.,Une erreur est survenue lors de l'importation de la matrice des tarifs.
TIG_PostNL::File has not been imported. See the following list of errors: %s,Le fichier n'a pas été importé. Voir la liste des messages d'erreur : %s
TIG_PostNL::Invalid PostNL matrix rates format in row #%s,Format de la matrice des tarifs PostNL incorrect à la ligne #%s
TIG_PostNL::Invalid country "%s" in row #%s,Pays incorrect : « %s » à la ligne #%s.
TIG_PostNL::Invalid region/state "%s" in row #%s.,Province/état incorrect : « %s » à la ligne #%s.
TIG_PostNL::Invalid shipping price "%s" in row #%s.,Prix d'envoi incorrect : « %s » à la ligne #%s.
TIG_PostNL::Duplicate row #%s (country "%s", region/state "%s", zip "%s", weight "%s", subtotal "%s", quantity "%s" and parcel type "%s").,Double ligne #%s (pays « %s », province/état « %s », code postal « %s », poids « %s », montant de la commande « %s », quantité « %s » et modèle de colis « %s »).
TIG_PostNL::Invalid parcel type "%s" in row #%s. Valid values are: "letter_box", "regular" or "*".,Type de colis incorrect : « %s » à la ligne #%s.
TIG_PostNL::Invalid quantity "%s" in row #%s.,Quantité incorrecte : « %s » à la ligne #%s.
TIG_PostNL::Invalid subtotal "%s" in row #%s.,Montant de la commande incorrect : « %s » à la ligne #%s.
TIG_PostNL::Invalid weight "%s" in row #%s.,Poids incorrect : « %s » à la ligne #%s.
TIG_PostNL::matrix rate,Matrice de tarif
TIG_PostNL::Default 'stated address only' option,Option standard « livrer uniquement à l'adresse indiquée »
TIG_PostNL::This option will be used as default when the customer has checked the 'stated address only' checkbox during checkout.,Cette option sera utilisée pour les envois pour lesquels le client a coché la case « pas de livraison chez les voisins ».
TIG_PostNL::Extra options,Options supplémentaires
TIG_PostNL::Use responsive design,Utilisation du plan dynamique
TIG_PostNL::Select 'yes' to make the delivery options theme responsive. Responsive themes allow users on their mobile phone, tablets and desktops to view the same page in a way that is optimized for their device. Beware: this option may conflict with custom Magento theme.,Sélectionner « oui » pour utiliser le plan dynamique des options de livraison. Le plan dynamique veille à ce que les utilisateurs puissent voir les options de livraison sur un smartphone, une tablette ou un PC, et ce, de manière optimale en fonction du support. N.B. : cette option peut entrer en conflit avec des thèmes personnalisés de Magento.
TIG_PostNL::Only stated address,Pas de livraison chez les voisins
TIG_PostNL::Show 'only send to stated address' option,Afficher l'option « livrer uniquement à l'adresse indiquée »
TIG_PostNL::Enable this option to show a checkbox on the checkout page with which the customer can choose to only send the shipment to the stated address.,Activer ce paramètre pour afficher une case sur la page de paiement grâce à laquelle le client peut indiquer que l'envoi ne peut être livré qu'à l'adresse indiquée.
TIG_PostNL::Stated address only option checked by default,Cocher de manière standard l'option « livrer uniquement à l'adresse indiquée »
TIG_PostNL::Stated address only fee,Supplément « Livrer uniquement à l'adresse indiquée »
TIG_PostNL::Unable to save update_product_attribute cron expression: %s,Impossible de sauvegarder l'expression du cron update_product_attribute : %s
TIG_PostNL::The PostNL extension is currently being upgraded.,L'extension PostNL est actuellement en cours de mise à jour.
TIG_PostNL::Depending on the number of products in your store, this could take several hours.,En fonction du nombre de produits dans votre boutique, cela peut prendre quelques heures.
TIG_PostNL::UpdateProductAttribute cron starting...,Lancement du cron UpdateProductAttribute...
TIG_PostNL::No attribute data found. Exiting cron.,Aucune donnée d'attribut trouvée. Cron existant.
TIG_PostNL::Updating product attribute data: %s,Mise à jour des données d'attribut de produit : %s
TIG_PostNL::Updating product IDs: %s,Mise à jour des identifiants de produit : %s
TIG_PostNL::No products left to update.,Plus de produit à mettre à jour.
TIG_PostNL::All attributes have been processed. Removing cron.,Tous les attributs ont été traités. Suppression du cron.
TIG_PostNL::UpdateProductAttribute cron has finished.,Le cron UpdateProductAttribute est terminé.
TIG_PostNL::A prefilled csv file can be found <a href="http://kb.tig.nl/topic/102462196" target="_blank">here</a>.,Vous pouvez télécharger <a href="http://kb.tig.nl/topic/102462196" target="_blank">ici</a> un fichier cvs pré-complété.
TIG_PostNL::Extra service,Service supplémentaire
TIG_PostNL::Unable to send track & trace email due to missing shipment parameters.,L'e-mail Track & Trace ne peut pas être envoyé à cause de données d'envoi manquantes.
TIG_PostNL::Data has not been imported. See the following list of errors: %s,Les données n'ont pas été importées. Voir la liste des messages d'erreur : %s
TIG_PostNL::PostNL track & trace email has been sent.,L'e-mail Track & Trace PostNL a été envoyé.
TIG_PostNL::PostNL track & trace email has been sent for shipment #%s.,L'e-mail Track & Trace PostNL a été envoyé pour l'envoi #%s.
TIG_PostNL::Pickup your order %s,Retirer votre commande %s
TIG_PostNL::Have your order delivered %s,Faire livrer votre commande %s
TIG_PostNL::A prefilled csv file can be found <a href="http://kb.tig.nl/topic/102462196" target="_blank">here</a>.,Vous trouverez <a href="http://kb.tig.nl/topic/102462196" target="_blank">ici</a> un fichier cvs pré-complété.
TIG_PostNL::Save and continue,Enregistrer et continuer
TIG_PostNL::Registration,Enregistrement
TIG_PostNL::Store Settings,Paramètres du magasin
TIG_PostNL::Off,De
TIG_PostNL::Technical Settings,Paramètres techniques
TIG_PostNL::Address validation and Settings,Vérification d'adresse et paramètres
TIG_PostNL::Label Options,Paramètres d'envoi
TIG_PostNL::Packing Slip,Fiche de colisage
TIG_PostNL::Shipping Options,Options d’envoi
TIG_PostNL::Weight Options,Paramètres de poids
TIG_PostNL::User Settings,Paramètres utilisateur
TIG_PostNL::Magento's One Page Checkout,Magento's One Page Checkout
TIG_PostNL::Idev's OneStepCheckout,Idev's OneStepCheckout
TIG_PostNL::Other,Autres
TIG_PostNL::Checkout extension,Extension Checkout
TIG_PostNL::Checkout settings,Paramètres Checkout
TIG_PostNL::PostNL delivery options are only available for Magento's One Page Checkout, Idev's OneStepCheckout and the GoMage LightCheckout extensions.,Les options de livraison PostNL sont uniquement disponibles pour Magento's One Page Checkout, Idev's OneStepCheckout et les extensions GoMage LightCheckout.
TIG_PostNL::Specify checkout extension,Spécifier l'extension Checkout
TIG_PostNL::Checkout settings (only active in the Netherlands),Paramètres Checkout (uniquement actif aux Pays-Bas)
TIG_PostNL::As soon as possible,Possibilité suivante
TIG_PostNL::The previous step has been saved successfully!,L'étape précédente a été achevée avec succès !
TIG_PostNL::These settings are only available on the 'global' and 'website' scopes.,Ces paramètres sont uniquement disponibles au niveau « global » et au niveau « site Internet ».
TIG_PostNL::Extension registration is only available on the 'global' scope.,L'enregistrement de l'extension n'est disponible qu'au niveau « global ».
TIG_PostNL::Frequently asked questions.,Questions fréquentes.
TIG_PostNL::FAQ,FOIRE AUX QUESTIONS
TIG_PostNL::Unable to find the answer you need using the links above?,Vous ne pouvez pas trouver de réponse avec les liens ci-dessus ?
TIG_PostNL::Use the button below to request help from the PostNL servicedesk.,Utilisez le bouton ci-dessous pour demander de l'aide au servicedesk PostNL.
TIG_PostNL::Request help from the servicedesk,Poser une question au servicedesk
TIG_PostNL::PostNL Checkout activation,Activation de PostNL Checkout
TIG_PostNL::Shipment and order grids,Aperçu des envois et commandes
TIG_PostNL::Globalpack and barcode settings,Paramètres GlobalPack et code-barres
TIG_PostNL::Parcelware export,Exportation Parcelware
TIG_PostNL::Technical settings,Paramètres techniques
TIG_PostNL::Track & trace email,E-mail Track & Trace
TIG_PostNL::Sender address,Adresse de l'expéditeur
TIG_PostNL::Return address,Adresse de retour
TIG_PostNL::PostNL account credentials,Donnée du compte PostNL
TIG_PostNL::You can read more about the way the extension calculates whether or not an order is a letter box parcel <a href="http://kb.tig.nl/topic/94905773" target="_blank">here</a>.,Vous pouvez en lire davantage <a href="http://kb.tig.nl/topic/94905773" target="_blank">ici</a> sur la manière dont l'extension détermine si une commande est un paquet.
TIG_PostNL::You can read more on how to configure split address lines <a href="http://kb.tig.nl/topic/55961916" target="_blank">here</a>.,Vous pouvez en lire davantage <a href="http://kb.tig.nl/topic/55961916" target="_blank">ici</a> sur le paramètre de répartition des lignes d'adresse dans Magento.
TIG_PostNL::PostNL - Print Return Label,PostNL - Imprimer l'étiquette de retour
TIG_PostNL::Unable to retrieve return labels for this shipment.,Il n'est pas possible de retirer des étiquettes de retour pour cet envoi.
TIG_PostNL::The generateReturnBarcode action is currently unavailable.,L'action generateReturnBarcode est actuellement indisponible.
TIG_PostNL::Print Return Label,Imprimer l'étiquette de retour
TIG_PostNL::Activate returns,Activer les retours
TIG_PostNL::Print the return label along with regular shipping labels,Imprimer l'étiquette de retour en même temps que les étiquettes d'envoi
TIG_PostNL::Activate this option to ship the order and returnlabel together.,Ainsi, vous pouvez joindre l’étiquette de retour à l’envoi.
TIG_PostNL::Allow customers to print the return label from the webshop,Autoriser les clients à imprimer l'étiquette de retour depuis le webshop
TIG_PostNL::This will add a button to the customer's account to print the return label for this shipment.,Un bouton est ajouté à la page du compte du client pour imprimer une étiquette de retour.
TIG_PostNL::Allow guests to print the return labels,Autoriser les invités à imprimer l'étiquette de retour
TIG_PostNL::This will add a button to the sales/guest/shipment page so that guests can print a return label for this shipment.,Un bouton est ajouté à la page sales/guest/shipment pour imprimer une étiquette de retour.
TIG_PostNL::Freepost number,Numéro de réponse
TIG_PostNL::These settings are only available on the 'global' scope.,Ces paramètres ne sont disponibles qu'au niveau « global ».
TIG_PostNL::Return Settings,Paramètres des retours
TIG_PostNL::Returns,Retours
TIG_PostNL::Return labels instructions block,Bloc d'instruction des étiquettes de retour
TIG_PostNL::Please select a static block that contains instructions for customers on how to use the return labels.,Veuillez sélectionner un bloc statique qui reprend les instructions à destination du client pour effectuer un retour.
TIG_PostNL::Alternative sender address,Adresse alternative de l'expéditeur
TIG_PostNL::Print return label,Imprimer l'étiquette de retour
TIG_PostNL::An error occurred while retrieving the return labels. Please try again.,Une erreur est survenue lors du retrait de l'étiquette de retour. Veuillez réessayer.
TIG_PostNL::A freepost number is a requisite for using return labels.,Un numéro de réponse est obligatoire pour l'utilisation des étiquettes de retour.
TIG_PostNL::Direct Debit,Recouvrement automatique
TIG_PostNL::Creditcard,Carte de crédit
TIG_PostNL::Giftcard,Chèque-cadeau
TIG_PostNL::The shipment's parcel count has been changed succesfully.,Le nombre de colis de cet envoi a été modifié avec succès.
TIG_PostNL::The changeParcelCount action is currently unavailable.,L'action changeParcelCount est actuellement indisponible.
TIG_PostNL::Expected delivery time,Date de livraison attendue
TIG_PostNL::Requested delivery time,Moment de livraison choisi
TIG_PostNL::Post office address:,Adresse du bureau de poste :
TIG_PostNL::Return Phase,Phase de retour
TIG_PostNL::Return Labels Printed,Étiquettes de retour imprimées
TIG_PostNL::PostNL Returns,Retours PostNL
TIG_PostNL::Return shipment,Envoi retour
TIG_PostNL::Update shipping status,Mise à jour du statut d'envoi
TIG_PostNL::PostNL - Update shipping status,PostNL - Mise à jour du statut d'envoi
TIG_PostNL::The shipping status has been updated successfully.,Le statut d'envoi a été correctement mis à jour.
TIG_PostNL::The shipping status of shipment #%s cannot be updated, because it has not yet been confirmed.,Le statut d'envoi de l'envoi #%s ne peut pas être mis à jour, car l'envoi n'a pas encore été annoncé.
TIG_PostNL::The shipping status of shipment #%s cannot be updated.,Le statut d'envoi de l'envoi #%s ne peut pas être mis à jour.
TIG_PostNL::Print packing slips & confirm shipment,Imprimer la fiche de colisage et annoncer l'envoi
TIG_PostNL::PostNL - Print packing slips & confirm shipment,PostNL - Imprimer les fiches de colisage et annoncer l'envoi
TIG_PostNL::This step has been saved successfully!,Cette étape a été achevée avec succès !
TIG_PostNL::The actual delivery time may have changed. Please check MijnPakket for the most up to date delivery time estimate.,Le moment de livraison réel peut changer. Consultez Mijnpakket pour obtenir le moment de livraison le plus précis possible.
TIG_PostNL::Shipping status,Statut d'envoi
TIG_PostNL::Unable to save return_status cron expression: %s,Impossible de sauvegarder l'expression du cron return_status : %s
TIG_PostNL::Unable to save update_date_time_zone cron expression: %s,Impossible de sauvegarder l'expression du cron update_date_time_zone : %s
TIG_PostNL::Unable to send track and trace email for shipment #%s.,L'e-mail Track & Trace de l'envoi #%s ne peut pas être envoyé.
TIG_PostNL::The sendReturnLabelEmail action is currently unavailable.,L'action sendReturnLabelEmail est actuellement indisponible.
TIG_PostNL::Unable to send return email for shipment #%s.,Impossible d'envoyer une étiquette de retour pour l'envoi #%s.
TIG_PostNL::PostNL return label email has been sent.,L'e-mail de l'étiquette de retour PostNL a été envoyé.
TIG_PostNL::PostNL return label email has been sent for shipment #%s.,L'e-mail de l'étiquette de retour PostNL a été envoyé pour l'envoi #%s.
TIG_PostNL::Unable to send return label email due to missing shipment parameters.,Impossible d'envoyer l'e-mail de l'étiquette de retour à cause de paramètres d'envoi manquants.
TIG_PostNL::You can send the customer an email with the return label attached as a pdf. Please select which transactional email template you would like to use for this email.,Il est possible d'envoyer un e-mail au client avec une étiquette de retour au format PDF. Veuillez sélectionner quel modèle d'e-mail doit être utilisé à cet effet.
TIG_PostNL::Send Return Label Email,Envoyer l'e-mail de l'étiquette de retour
TIG_PostNL::Print Return Label,Imprimer l'étiquette de retour
TIG_PostNL::PostNL - Send Return Label Email,PostNL - Envoyer l'e-mail de l'étiquette de retour
TIG_PostNL::The return label email was sent.,L'e-mail de l'étiquette de retour a été envoyé.
TIG_PostNL::Return label email template,Modèle d'e-mail de l'étiquette de retour
TIG_PostNL::PostNL Return Label Email,E-mail de l'étiquette de retour PostNL
TIG_PostNL::The installed version of PHP is too low. The installed PHP version is %s, the minimum required PHP version is %s.,La version PHP installée est trop faible. La version PHP installée est %s. La version minimum est %s.
TIG_PostNL::Invalid settings provided.,Paramètres incorrects fournis.
TIG_PostNL::Invalid config value provided.,Valeurs de configuration incorrectes fournies.
TIG_PostNL::Invalid updateConfigSettings response: %s,Réponse updateConfigSettings invalide : %s
TIG_PostNL::The PostNL extension has detected some issues with the PostNL extension's data integrity.,L'extension PostNL a détecté des problèmes potentiels dans l'intégrité des données de l'extension PostNL.
TIG_PostNL::Order IDs do not match.,L'identifiant commande ne correspond pas.
TIG_PostNL::Quote IDs do not match.,Les identifiants quote ne correspondent pas.
TIG_PostNL::Missing Magento shipment.,Envoi Magento manquant
TIG_PostNL::Missing Magento quote.,Quote Magento manquant
TIG_PostNL::Missing Magento order.,Commande Magento manquante
TIG_PostNL::Sunday,Dimanche
TIG_PostNL::Sunday cut-off time,Heure limite le dimanche
TIG_PostNL::You can apply for a freepost number on <a href="http://www.postnl.nl/zakelijke-oplossingen/ontvangen/antwoordnummer/?searchResult=position1" target="_blank" title="Request a freepost number.">this</a> page.,Vous pouvez demander un numéro de réponse <a href="http://www.postnl.nl/zakelijke-oplossingen/ontvangen/antwoordnummer/?searchResult=position1" target="_blank" title="Vraag een antwoordnummer aan.">ici</a>.
TIG_PostNL::parcel dispenser,distributeur automatique de colis
TIG_PostNL::Select this checkbox to only show parcel dispensers.,Activez ce filtre pour afficher uniquement les distributeurs automatiques de colis
TIG_PostNL::Choose date,Choisir une date
TIG_PostNL::You are currently using fewer than 2 address lines. In order to guarantee proper address processing, the PostNL extension requires at least 2 address lines. You can read more on how to configure split address lines <a href="http://kb.tig.nl/topic/55961916" target="_blank">here</a>.,Vous utilisez actuellement moins de 2 lignes d'adresse sur votre page Checkout. L'extension PostNL a besoin de minimum 2 lignes d'adresse pour garantir un traitement correct de l'adresse. Vous pouvez cliquer <a href="http://kb.tig.nl/topic/55961916" target="_blank">ici</a> pour en savoir plus sur la configuration correcte de la répartition des lignes d'adresse.
TIG_PostNL::Hide this warning.,Masquer cet avertissement.
TIG_PostNL::You are currently using the Postcode.nl extension. This extension conflicts with the PostNL extension's built-in postcode validator. We recommend you disable the Postcode.nl extension if you wish to use the PostNL extensions' postcode validator.,Vous utilisez actuellement l'extension Postcode.nl. Cette extension est en conflit avec la validation du code postal intégrée de l'extension PostNL. Nous vous recommandons de désactiver l'extension Postcode.nl si vous voulez utiliser la fonctionnalité de contrôle du code postal de l'extension PostNL.
TIG_PostNL::Please use only letters (a-z A-Z), numbers (0-9) or one of the following characters: [( ) , . _ - #] in this field.,Veuillez utiliser uniquement des lettres (a-z A-Z), chiffres (0-9) ou ces symboles : [() , . _ - #] dans ce champ.
TIG_PostNL::One or more items in the cart are backordered or out of stock.,Un ou plusieurs produits du panier ne sont pas en stock ou attendent un renouvellement de stock.
TIG_PostNL::Stock options,Options de stock
TIG_PostNL::Select for which products PostNL delivery options should be available.,Sélectionnez pour quels produits les options de livraison PostNL doivent être disponibles.
TIG_PostNL::In stock products only,Tous les produits qui sont en stock.
TIG_PostNL::In stock and backordered products,En stock ou en attente de réapprovisionnement
TIG_PostNL::In stock, backordered and out of stock products,En stock, en attente de réapprovisionnement et en rupture de stock
TIG_PostNL::Product option '%s' (%s) is not allowed for this shipment.,L'option de produit « %s » (%s) n'est pas autorisée pour cet envoi.
TIG_PostNL::You have chosen to pick up your address at the following post office location:,Vous avez opté pour le dépôt de votre commande dans le bureau de poste suivant :
TIG_PostNL::You can select a pick up location later on. The address you select here will be used to determine which pick up locations are nearby.,Vous pouvez également choisir un point de retrait. L'adresse que vous avez indiquée sera utilisée pour détecter les points de retrait les plus proches.
TIG_PostNL::The PostNL extension has been successfully uninstalled.,L'extension PostNL a été désinstallée avec succès.
TIG_PostNL::PostNL uninstall failed on removing product attribute: %s,La désinstallation PostNL a échoué au niveau de la suppression de l'attribut : %s
TIG_PostNL::PostNL uninstall found but could not write to XML file: %s,La désinstallation PostNL n'a pas pu atteindre le fichier XML : %s
TIG_PostNL::PostNL uninstall could not find or XML file: %s,La désinstallation PostNL n'a pas pu trouver le fichier XML : %s
TIG_PostNL::GoMage LightCheckout,GoMage LightCheckout
TIG_PostNL::Warning: this action cannot be undone!,Avertissement : cette action est irréversible !
TIG_PostNL::The following changes will be made:,Les modifications suivantes seront effectuées :
TIG_PostNL::The extension will be disabled in the app/etc/modules/TIG_PostNL.xml file,L'extension sera déconnectée dans le fichier app/etc/modules/TIG_PostNL.xml
TIG_PostNL::The PostNL product attributes will be removed from the webshop,Les attributs de produit PostNL seront supprimés sur le webshop
TIG_PostNL::The following will be preserved:,Ce qui suit sera conservé :
TIG_PostNL::All data pertaining to existing orders and shipments,Toutes les données concernant les commandes et envois existants
TIG_PostNL::All PostNL configuration settings,Tous les paramètres de configuration PostNL
TIG_PostNL::All PostNL code files.,Tous les fichiers code PostNL
TIG_PostNL::For questions regarding this process and how to re-install the PostNL extension, please contact the TIG servicedesk.,Pour toutes questions sur ce processus et sur la manière de réinstaller l'extension, veuillez contacter le servicedesk TIG.
TIG_PostNL::Type `uninstall` in the box to proceed,Tapez « désinstaller » dans le champ pour continuer.
TIG_PostNL::Uninstall,Désinstaller
TIG_PostNL::Warning: this action cannot be undone!,Avertissement : cette action est irréversible !
TIG_PostNL::You did not enter the correct verification text. Try again.,Vous n'avez pas introduit le bon texte de vérification. Veuillez réessayer.
TIG_PostNL::If you are using the Gomage Lightcheckout extension in combination with the PostNL Postcode check;<br/>Please know that the street-settings from the Gomage Lightcheckout extension will be ignored.<br/> Read more about the settings <a href='http://servicedesk.tig.nl/hc/nl/articles/208889777-GoMage-LightCheckout-Adresinstellingen' target='_blank'>here</a>,Si vous utilisez l'extension Gomage Lightcheckout en combinaison avec Postcodecheck de PostNL, les paramètres de rue de l'extension Gomage Lightcheckout seront ignorés.<br/>Vous trouverez <a href='http://servicedesk.tig.nl/hc/nl/articles/208889777' target=""_blank"">ici</a> plus d'informations sur les paramètres.
TIG_PostNL::You have enabled PostNL delivery options and GoMage LightCheckout's Delivery Date functionality for the same shipping methods. Unfortunately these two functionalities conflict. Please disable one of these features.,Vous avez activé les options de livraison PostNL ainsi que la fonctionnalité de date de livraison de GoMage LightCheckout. Ces deux fonctionnalités ne sont malheureusement pas compatibles. Veuillez en déconnecter une des deux.
TIG_PostNL::[POSTNL-0222] Warning: possible PostNL and GoMage LightCheckout conflict. <a href="http://kb.tig.nl/topic/" target="blank">Click here for more information from the TIG knowledgebase.</a>,[POSTNL-0222] Avertissement : conflit possible entre PosttNL en GoMage LightCheckout. <a href="http://kb.tig.nl/topic/" target="blank">Cliquez ici pour obtenir de plus amples informations dans la base de connaissances TIG.</a>
TIG_PostNL::Are you sure you wish to disable the PostNL extension?\n\nWarning: this action cannot be undone!\n\nThe following changes will be made:\n- the extension will be disabled in the app/etc/modules/TIG_PostNL.xml file\n- the PostNL product attributes will be removed from the webshop\n\nThe following will be preserved: \n- All data pertaining to existing orders and shipments\n- All PostNL configuration settings\n- All PostNL code files.\n\nFor questions regarding this process and how to re-install the PostNL extension, please contact the TIG servicedesk.,Êtes-vous sûr de vouloir déconnecter l'extension PostNL ?\n\nAvertissement : cette action est irréversible !\n\nLes changements suivants seront effectués :\n- l'extension sera supprimée dans le fichier app/etc/modules/TIG_PostNL.xml\n- les attributs de produit PostNL seront supprimés du webshop\n\nCeci sera conservé : \n- Toutes les données concernant les commandes et envois existants\n- Tous les paramètres de configuration PostNL\n- Tous les fichiers code PostNL\n\nPour toutes questions sur ce processus et sur la réinstallation de l'extension PostNL, vous pouvez contacter le servicedesk TIG.
TIG_PostNL::The PostNL extension has been successfully uninstalled.,L'extension PostNL a été désinstallée avec succès.
TIG_PostNL::PostNL uninstall failed on removing product attribute: %s,La désinstallation PostNL a échoué au niveau de la suppression de l'attribut : %s
TIG_PostNL::PostNL uninstall found but could not write to XML file: %s,La désinstallation PostNL n'a pas pu atteindre le fichier XML : %s
TIG_PostNL::PostNL uninstall could not find or XML file: %s,La désinstallation PostNL n'a pas pu trouver le fichier XML : %s
TIG_PostNL::An error occurred while saving this step of the configuration wizard. Please use the regular "Save Config" button instead.,Une erreur est survenue lors de l'enregistrement de l'étape de configuration. Veuillez utiliser le bouton « enregistrer la configuration » régulièrement.
TIG_PostNL::Permanently disable the PostNL extension,L'extension PostNL a été désinstallée de manière définitive.
TIG_PostNL::Uninstall PostNL Extension,Désinstaller l'extension PostNL
TIG_PostNL::Uninstall the PostNL extension,Désinstaller l'extension PostNL
TIG_PostNL::Click <a href="https://kb.tig.nl/topic/94842766" target="_blank">here</a> for more information about the uninstall process.,Cliquez <a href="https://kb.tig.nl/topic/94842766" target="_blank">ici</a> pour obtenir plus d'informations sur la procédure de désinstallation.
TIG_PostNL::No PostNL Shipment found for shipment ID #%s.,Aucun envoi PostNL trouvé pour l'identifiant d'envoi #%s.
TIG_PostNL::Only A4 or A6 are valid values for the 'labelSize' parameter.,A4 et A6 sont les seules valeurs autorisées pour le paramètre « labelSize ».
TIG_PostNL::The 'labelStartPosition' parameter must contain an integer value between 1 and 4.,Le paramètre « labelStartPosition » doit comprendre une valeur intègre située entre 1 et 4.
TIG_PostNL::The 'orderIds' parameter must contain a non-empty array of order IDs.,Le paramètre « orderIds » doit contenir une gamme d'identifiants de commande.
TIG_PostNL::The 'shipmentIds' parameter must contain a non-empty array of shipment IDs.,Le paramètre « shipmentIds » doit contenir une gamme d'identifiants d'envoi.
TIG_PostNL::Could not create or find a shipment for order #%s.,Aucun envoi n'a pu être réalisé ou trouvé pour la commande #%s.
TIG_PostNL::GoMage's Checkout version,Version Checkout de GoMage
TIG_PostNL::Print the shipping label on the same page as the packing slip,Imprimer l'étiquette d'envoi sur la même page que la fiche de colisage
TIG_PostNL::Print the shipping label on a separate page,Imprimer l'étiquette d'envoi sur une page distincte
TIG_PostNL::Don't print the shipping label,Ne pas imprimer l'étiquette d'envoi
TIG_PostNL::Loading available delivery options for your shipping address...,Les options de livraison disponibles pour votre adresse d'envoi ont été répertoriées...
TIG_PostNL::Picqer's PostNL add-on version,Version extension PostNL Picqer
TIG_PostNL::Default sunday delivery shipping option,Option d'envoi standard pour la livraison le dimanche
TIG_PostNL::Enable sunday delivery,Activer la livraison le dimanche
TIG_PostNL::This setting may be overwritten by manually creating shipments.,Ce paramètre peut être remplacé par une réalisation manuelle des envois.
TIG_PostNL::Activate sunday delivery for your customers.,Activer la livraison le dimanche pour vos clients.
TIG_PostNL::Sunday Delivery,Livraison le dimanche
TIG_PostNL::Sunday,Dimanche
TIG_PostNL::The sender country setting is only available on the 'global' scope.,Le paramètre du pays expéditeur est uniquement disponible au niveau « global ».
TIG_PostNL::Please note: the country you select here will be used to determine whether certain shipping options (such as Belgium domestic) are available to you.,N.B. le pays que vous sélectionnez sera utilisé pour déterminer si certaines options d'envoi sont disponibles (comme au niveau national en Belgique).
TIG_PostNL::The Netherlands,Pays-Bas
TIG_PostNL::Belgium,Belgique
TIG_PostNL::Belgium Deliver to stated address only + Return when not home,Belgique : Livrer uniquement à l'adresse indiquée + après 2 tentatives au lieu de retrait.
TIG_PostNL::Belgium Return when not home,Belgique : Livraison chez les voisins + après 2 tentatives au lieu de retrait.
TIG_PostNL::Belgium Signature on delivery + Deliver to stated address only + Return when not home,Belgique : signature pour réception + livrer uniquement à l'adresse indiquée + après 2 tentatives au lieu de retrait.
TIG_PostNL::Belgium Signature on delivery + Return when not home,Belgique : signature pour réception + après 2 tentatives au lieu de retrait.
TIG_PostNL::Belgium COD + Return when not home,Belgique : après 2 tentatives au lieu de retrait + livrer uniquement à l'adresse indiquée
TIG_PostNL::Belgium Extra cover (EUR 500)+ Return when not home + Deliver to stated address only,Couverture supplémentaire Belgique (500 euros) + après 2 tentatives au lieu de retrait + livrer uniquement à l'adresse indiquée
TIG_PostNL::Belgium COD + Extra cover (EUR 500) + Return when not home,Couverture supplémentaire Belgique (500 euros) + après 2 tentatives au lieu de retrait + livrer uniquement à l'adresse indiquée
TIG_PostNL::Default Belgium shipping option,Option d'envoi standard en Belgique
TIG_PostNL::This setting may be overwritten by manually creating shipments. This option is only applicable to Belgian domestic shipments.,Ce paramètre peut être remplacé par une réalisation manuelle des envois. Cette option est uniquement applicable pour les envois nationaux belges.
TIG_PostNL::Default Belgium COD shipping option,Option standard d'envoi contre remboursement en Belgique
TIG_PostNL::PostNL delivery options are only available when shipping from the Netherlands.,Les options de livraison PostNL sont uniquement disponibles quand vous expédiez depuis les Pays-Bas.
TIG_PostNL::Delivery options are only available when shipping from the Netherlands.,Les options de livraison sont uniquement disponibles quand vous expédiez depuis les Pays-Bas.
TIG_PostNL::Delivery options based on contractual agreements,Options de livraison sur base des conventions contractuelles
"TIG_PostNL::Please note: these delivery options require specific contractual agreements with PostNL. Please contact your PostNL account manager if you wish to use monday, sunday or same day delivery.","Attention : pour ces options de livraison, vous devez avoir un accord spécifique avec PostNL. Veuillez prendre contact avec votre account manager si vous voulez utiliser la livraison le lundi, la livraison le dimanche et/ou la livraison le jour même."
TIG_PostNL::Please note: these delivery options require specific contractual agreements with PostNL. Please contact your PostNL account manager if you wish to use Monday.,Attention : pour ces options de livraison, vous devez avoir un accord spécifique avec PostNL. Veuillez prendre contact avec votre account manager si vous voulez utiliser la livraison le lundi.
TIG_PostNL::Enable monday delivery,Activer la livraison le lundi
TIG_PostNL::Activate monday delivery (also known as sunday sorting) for your customers.,Activer la livraison le lundi (aussi connu sous le nom de tri le dimanche) pour vos clients.
TIG_PostNL::You can read more about monday delivery <a href="http://www.postnl.nl/zakelijke-oplossingen/webwinkels/bezorgopties-voor-mijn-klanten/maandagbezorging/" target="_blank" title="monday delivery">here</a>.,Vous trouverez <a href="http://www.postnl.nl/zakelijke-oplossingen/webwinkels/bezorgopties-voor-mijn-klanten/maandagbezorging/" target="_blank" title="maandagbezorging">ici</a> plus d'informations sur la livraison le lundi.
